127.0.0.1, 2013-11-02 22:51:12, GET, /admin/default/ticket/admin/127.0.0.1.2013-11-02.22-51-12.3c9b71ee-f3a6-45b3-b455-e9609dfc207d, HTTP/1.1, 303, 0.002446
127.0.0.1, 2013-11-02 22:51:12, GET, /admin/default/index, HTTP/1.1, 500, 0.029625
127.0.0.1, 2013-11-02 22:51:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2013-11-02 22:51:18, GET, /examples, HTTP/1.1, 200, 0.012190
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000311
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001599
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001171
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000648
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001258
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001834
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000952
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000927
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001297
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000860
127.0.0.1, 2013-11-02 22:51:18, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000893
127.0.0.1, 2013-11-02 22:51:19, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-11-02 22:51:19, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000563
